Prefix,Gap Start,Gap End,Missing Count
EDC,EDC0006795,EDC0006795,1
EDC,EDC0006844,EDC0006844,1
EDC,EDC0006853,EDC0006854,2
EDC,EDC0006864,EDC0006864,1
EDC,EDC0006898,EDC0006898,1
EDC,EDC0006918,EDC0006918,1
EDC,EDC0006975,EDC0006976,2
EDC,EDC0007013,EDC0007014,2
EDC,EDC0007017,EDC0007018,2
EDC,EDC0007050,EDC0007050,1
EDC,EDC0007059,EDC0007060,2
EDC,EDC0007064,EDC0007064,1
EDC,EDC0007077,EDC0007077,1
EDC,EDC0007086,EDC0007086,1
EDC,EDC0007094,EDC0007095,2
EDC,EDC0007121,EDC0007121,1
EDC,EDC0007143,EDC0007143,1
EDC,EDC0007145,EDC0007146,2
EDC,EDC0007163,EDC0007163,1
EDC,EDC0007213,EDC0007214,2
EDC,EDC0007218,EDC0007219,2
EDC,EDC0007223,EDC0007223,1
EDC,EDC0007313,EDC0007313,1
EDC,EDC0007345,EDC0007345,1
EDC,EDC0007396,EDC0007396,1
EDC,EDC0007408,EDC0007408,1
EDC,EDC0007412,EDC0007412,1
EDC,EDC0007417,EDC0007418,2
EDC,EDC0007530,EDC0007530,1
EDC,EDC0007541,EDC0007541,1
EDC,EDC0007557,EDC0007558,2
EDC,EDC0007577,EDC0007577,1
EDC,EDC0007579,EDC0007579,1
EDC,EDC0007581,EDC0007582,2
EDC,EDC0007584,EDC0007584,1
EDC,EDC0007586,EDC0007586,1
EDC,EDC0007588,EDC0007588,1
EDC,EDC0007590,EDC0007590,1
EDC,EDC0007592,EDC0007592,1
EDC,EDC0007594,EDC0007594,1
EDC,EDC0007605,EDC0007605,1
EDC,EDC0007632,EDC0007633,2
EDC,EDC0007638,EDC0007640,3
EDC,EDC0007691,EDC0007691,1
EDC,EDC0007699,EDC0007699,1
EDC,EDC0007708,EDC0007708,1
EDC,EDC0007718,EDC0007720,3
EDC,EDC0007745,EDC0007745,1
EDC,EDC0007772,EDC0007772,1
EDC,EDC0007777,EDC0007777,1
EDC,EDC0007779,EDC0007780,2
EDC,EDC0007803,EDC0007804,2
EDC,EDC0007815,EDC0007815,1
EDC,EDC0007817,EDC0007819,3
EDC,EDC0007836,EDC0007836,1
EDC,EDC0007842,EDC0007847,6
EDC,EDC0007859,EDC0007859,1
EDC,EDC0007872,EDC0007875,4
EDC,EDC0007915,EDC0007915,1
EDC,EDC0007924,EDC0007924,1
EDC,EDC0007929,EDC0007929,1
EDC,EDC0007936,EDC0007936,1
EDC,EDC0007996,EDC0007996,1
EDC,EDC0008007,EDC0008008,2
EDC,EDC0008038,EDC0008038,1
EDC,EDC0008040,EDC0008040,1
EDC,EDC0008043,EDC0008043,1
EDC,EDC0008045,EDC0008045,1
EDC,EDC0008047,EDC0008047,1
EDC,EDC0008050,EDC0008050,1
EDC,EDC0008053,EDC0008053,1
EDC,EDC0008056,EDC0008056,1
EDC,EDC0008059,EDC0008059,1
EDC,EDC0008068,EDC0008068,1
EDC,EDC0008079,EDC0008079,1
EDC,EDC0008093,EDC0008093,1
EDC,EDC0008097,EDC0008097,1
EDC,EDC0008102,EDC0008102,1
EDC,EDC0008106,EDC0008107,2
EDC,EDC0008109,EDC0008109,1
EDC,EDC0008117,EDC0008117,1
EDC,EDC0008163,EDC0008163,1
EDC,EDC0008165,EDC0008165,1
EDC,EDC0008181,EDC0008181,1
EDC,EDC0008196,EDC0008197,2
EDC,EDC0008222,EDC0008222,1
EDC,EDC0008236,EDC0008236,1
EDC,EDC0008277,EDC0008278,2
EDC,EDC0008285,EDC0008285,1
EDC,EDC0008291,EDC0008291,1
EDC,EDC0008307,EDC0008308,2
EDC,EDC0008310,EDC0008311,2
EDC,EDC0008325,EDC0008325,1
EDC,EDC0008328,EDC0008328,1
EDC,EDC0008334,EDC0008334,1
EDC,EDC0008337,EDC0008337,1
EDC,EDC0008341,EDC0008341,1
EDC,EDC0008364,EDC0008364,1
EDC,EDC0008369,EDC0008369,1
EDC,EDC0008382,EDC0008383,2
EDC,EDC0008389,EDC0008389,1
EDC,EDC0008418,EDC0008420,3
EDC,EDC0008432,EDC0008432,1
EDC,EDC0008443,EDC0008443,1
EDC,EDC0008445,EDC0008445,1
EDC,EDC0008448,EDC0008448,1
EDC,EDC0008490,EDC0008490,1
EDC,EDC0008503,EDC0008504,2
EDC,EDC0008518,EDC0008518,1
EDC,EDC0008541,EDC0008541,1
EDC,EDC0008562,EDC0008562,1
EDC,EDC0008567,EDC0008567,1
EDC,EDC0008571,EDC0008571,1
EDC,EDC0008583,EDC0008585,3
EDC,EDC0008604,EDC0008604,1
EDC,EDC0008606,EDC0008607,2
EDC,EDC0008609,EDC0008610,2
EDC,EDC0008624,EDC0008624,1
EDC,EDC0008626,EDC0008626,1
EDC,EDC0008628,EDC0008631,4
EDC,EDC0008635,EDC0008637,3
EDC,EDC0008641,EDC0008641,1
EDC,EDC0008649,EDC0008650,2
EDC,EDC0008657,EDC0008657,1
EDC,EDC0008749,EDC0008749,1
EDC,EDC0008811,EDC0008812,2
EDC,EDC0008835,EDC0008835,1
EDC,EDC0008858,EDC0008858,1
EDC,EDC0008863,EDC0008863,1
EDC,EDC0008865,EDC0008865,1
EDC,EDC0008877,EDC0008877,1
EDC,EDC0008895,EDC0008896,2
EDC,EDC0008898,EDC0008898,1
EDC,EDC0008900,EDC0008902,3
EDC,EDC0008904,EDC0008905,2
EDC,EDC0008911,EDC0008911,1
EDC,EDC0008913,EDC0008917,5
EDC,EDC0008919,EDC0008922,4
EDC,EDC0008929,EDC0008929,1
EDC,EDC0008937,EDC0008937,1
EDC,EDC0008949,EDC0008949,1
EDC,EDC0008951,EDC0008951,1
EDC,EDC0008961,EDC0008962,2
EDC,EDC0009002,EDC0009003,2
EDC,EDC0009007,EDC0009007,1
EDC,EDC0009047,EDC0009047,1
EDC,EDC0009058,EDC0009058,1
EDC,EDC0009062,EDC0009062,1
EDC,EDC0009067,EDC0009068,2
EDC,EDC0009072,EDC0009073,2
EDC,EDC0009144,EDC0009144,1
EDC,EDC0009184,EDC0009184,1
EDC,EDC0009193,EDC0009193,1
EDC,EDC0009200,EDC0009200,1
EDC,EDC0009203,EDC0009203,1
EDC,EDC0009211,EDC0009211,1
EDC,EDC0009220,EDC0009220,1
EDC,EDC0009234,EDC0009235,2
EDC,EDC0009237,EDC0009237,1
EDC,EDC0009248,EDC0009249,2
EDC,EDC0009255,EDC0009255,1
EDC,EDC0009257,EDC0009257,1
EDC,EDC0009259,EDC0009260,2
EDC,EDC0009263,EDC0009263,1
EDC,EDC0009265,EDC0009265,1
EDC,EDC0009267,EDC0009267,1
EDC,EDC0009299,EDC0009300,2
EDC,EDC0009327,EDC0009327,1
EDC,EDC0009343,EDC0009343,1
EDC,EDC0009347,EDC0009347,1
EDC,EDC0009362,EDC0009362,1
EDC,EDC0009364,EDC0009364,1
EDC,EDC0009368,EDC0009368,1
EDC,EDC0009402,EDC0009402,1
EDC,EDC0009410,EDC0009410,1
EDC,EDC0009412,EDC0009413,2
EDC,EDC0009417,EDC0009419,3
EDC,EDC0009461,EDC0009461,1
EDC,EDC0009489,EDC0009489,1
EDC,EDC0009493,EDC0009494,2
EDC,EDC0009506,EDC0009506,1
EDC,EDC0009543,EDC0009546,4
EDC,EDC0009549,EDC0009551,3
EDC,EDC0009553,EDC0009553,1
EDC,EDC0009571,EDC0009573,3
EDC,EDC0009585,EDC0009585,1
EDC,EDC0009602,EDC0009602,1
EDC,EDC0009611,EDC0009611,1
EDC,EDC0009615,EDC0009615,1
EDC,EDC0009617,EDC0009617,1
EDC,EDC0009619,EDC0009619,1
EDC,EDC0009621,EDC0009621,1
EDC,EDC0009631,EDC0009631,1
EDC,EDC0009661,EDC0009661,1
EDC,EDC0009665,EDC0009665,1
EDC,EDC0009671,EDC0009671,1
EDC,EDC0009674,EDC0009675,2
EDC,EDC0009677,EDC0009679,3
EDC,EDC0009693,EDC0009693,1
EDC,EDC0009697,EDC0009699,3
EDC,EDC0009711,EDC0009711,1
EDC,EDC0009719,EDC0009719,1
EDC,EDC0009762,EDC0009762,1
EDC,EDC0009765,EDC0009765,1
EDC,EDC0009775,EDC0009776,2
EDC,EDC0009803,EDC0009803,1
EDC,EDC0009851,EDC0009851,1
EDC,EDC0009864,EDC0009865,2
EDC,EDC0009873,EDC0009873,1
EDC,EDC0009879,EDC0009879,1
EDC,EDC0009887,EDC0009889,3
EDC,EDC0009892,EDC0009893,2
EDC,EDC0009976,EDC0009976,1
EDC,EDC0009999,EDC0010000,2
EDC,EDC0010031,EDC0010031,1
EDC,EDC0010033,EDC0010033,1
EDC,EDC0010035,EDC0010035,1
EDC,EDC0010041,EDC0010041,1
EDC,EDC0010045,EDC0010046,2
EDC,EDC0010075,EDC0010075,1
EDC,EDC0010086,EDC0010086,1
EDC,EDC0010090,EDC0010090,1
EDC,EDC0010115,EDC0010115,1
EDC,EDC0010118,EDC0010121,4
EDC,EDC0010126,EDC0010127,2
EDC,EDC0010130,EDC0010130,1
EDC,EDC0010135,EDC0010135,1
EDC,EDC0010139,EDC0010139,1
EDC,EDC0010160,EDC0010161,2
EDC,EDC0010166,EDC0010167,2
EDC,EDC0010193,EDC0010193,1
EDC,EDC0010198,EDC0010198,1
EDC,EDC0010204,EDC0010204,1
EDC,EDC0010209,EDC0010209,1
EDC,EDC0010215,EDC0010215,1
EDC,EDC0010219,EDC0010223,5
EDC,EDC0010228,EDC0010228,1
EDC,EDC0010235,EDC0010235,1
EDC,EDC0010239,EDC0010239,1
EDC,EDC0010242,EDC0010242,1
EDC,EDC0010251,EDC0010251,1
EDC,EDC0010256,EDC0010256,1
EDC,EDC0010264,EDC0010265,2
EDC,EDC0010280,EDC0010281,2
EDC,EDC0010284,EDC0010285,2
EDC,EDC0010298,EDC0010299,2
EDC,EDC0010316,EDC0010316,1
EDC,EDC0010324,EDC0010327,4
EDC,EDC0010332,EDC0010333,2
EDC,EDC0010335,EDC0010335,1
EDC,EDC0010345,EDC0010346,2
EDC,EDC0010355,EDC0010356,2
EDC,EDC0010360,EDC0010360,1
EDC,EDC0010362,EDC0010365,4
EDC,EDC0010367,EDC0010368,2
EDC,EDC0010372,EDC0010374,3
EDC,EDC0010376,EDC0010377,2
EDC,EDC0010382,EDC0010382,1
EDC,EDC0010385,EDC0010385,1
EDC,EDC0010388,EDC0010389,2
EDC,EDC0010393,EDC0010393,1
EDC,EDC0010395,EDC0010397,3
EDC,EDC0010403,EDC0010403,1
EDC,EDC0010412,EDC0010412,1
EDC,EDC0010414,EDC0010414,1
EDC,EDC0010422,EDC0010422,1
EDC,EDC0010429,EDC0010430,2
EDC,EDC0010432,EDC0010433,2
EDC,EDC0010436,EDC0010437,2
EDC,EDC0010447,EDC0010450,4
EDC,EDC0010454,EDC0010457,4
EDC,EDC0010460,EDC0010461,2
EDC,EDC0010476,EDC0010477,2
EDC,EDC0010493,EDC0010493,1
EDC,EDC0010501,EDC0010502,2
EDC,EDC0010505,EDC0010506,2
EDC,EDC0010508,EDC0010508,1
EDC,EDC0010510,EDC0010512,3
EDC,EDC0010539,EDC0010540,2
EDC,EDC0010610,EDC0010614,5
EDC,EDC0010616,EDC0010620,5
EDC,EDC0010622,EDC0010622,1
EDC,EDC0010624,EDC0010625,2
EDC,EDC0010628,EDC0010629,2
EDC,EDC0010633,EDC0010635,3
EDC,EDC0010638,EDC0010639,2
EDC,EDC0010688,EDC0010689,2
EDC,EDC0010692,EDC0010693,2
EDC,EDC0010702,EDC0010702,1
EDC,EDC0010707,EDC0010708,2
EDC,EDC0010781,EDC0010781,1
EDC,EDC0010789,EDC0010789,1
EDC,EDC0010815,EDC0010816,2
EDC,EDC0010818,EDC0010818,1
EDC,EDC0010827,EDC0010827,1
EDC,EDC0010829,EDC0010829,1
EDC,EDC0010832,EDC0010832,1
EDC,EDC0010834,EDC0010834,1
EDC,EDC0010851,EDC0010851,1
EDC,EDC0010855,EDC0010857,3
EDC,EDC0010861,EDC0010862,2
EDC,EDC0010877,EDC0010880,4
EDC,EDC0010882,EDC0010882,1
EDC,EDC0010885,EDC0010885,1
EDC,EDC0010888,EDC0010888,1
EDC,EDC0010894,EDC0010894,1
EDC,EDC0010896,EDC0010896,1
EDC,EDC0010918,EDC0010918,1
EDC,EDC0010925,EDC0010925,1
EDC,EDC0010939,EDC0010939,1
EDC,EDC0010941,EDC0010942,2
EDC,EDC0010957,EDC0010959,3
EDC,EDC0010963,EDC0010963,1
EDC,EDC0010981,EDC0010982,2
EDC,EDC0010984,EDC0010984,1
EDC,EDC0011007,EDC0011007,1
EDC,EDC0011021,EDC0011022,2
EDC,EDC0011081,EDC0011085,5
EDC,EDC0011106,EDC0011108,3
EDC,EDC0011119,EDC0011119,1
EDC,EDC0011134,EDC0011136,3
EDC,EDC0011140,EDC0011141,2
EDC,EDC0011151,EDC0011151,1
EDC,EDC0011155,EDC0011157,3
EDC,EDC0011160,EDC0011162,3
EDC,EDC0011174,EDC0011174,1
EDC,EDC0011177,EDC0011177,1
EDC,EDC0011179,EDC0011180,2
EDC,EDC0011184,EDC0011186,3
EDC,EDC0011197,EDC0011197,1
EDC,EDC0011200,EDC0011200,1
EDC,EDC0011202,EDC0011202,1
EDC,EDC0011217,EDC0011217,1
EDC,EDC0011221,EDC0011223,3
EDC,EDC0011234,EDC0011235,2
EDC,EDC0011244,EDC0011245,2
EDC,EDC0011247,EDC0011249,3
EDC,EDC0011267,EDC0011268,2
EDC,EDC0011273,EDC0011274,2
EDC,EDC0011281,EDC0011285,5
EDC,EDC0011320,EDC0011322,3
EDC,EDC0011329,EDC0011329,1
EDC,EDC0011335,EDC0011336,2
EDC,EDC0011339,EDC0011342,4
EDC,EDC0011344,EDC0011344,1
EDC,EDC0011358,EDC0011358,1
EDC,EDC0011375,EDC0011376,2
EDC,EDC0011378,EDC0011379,2
EDC,EDC0011392,EDC0011393,2
EDC,EDC0011400,EDC0011405,6
EDC,EDC0011407,EDC0011408,2
EDC,EDC0011410,EDC0011410,1
EDC,EDC0011423,EDC0011423,1
EDC,EDC0011425,EDC0011425,1
EDC,EDC0011427,EDC0011427,1
EDC,EDC0011429,EDC0011429,1
EDC,EDC0011431,EDC0011431,1
EDC,EDC0011433,EDC0011433,1
EDC,EDC0011435,EDC0011435,1
EDC,EDC0011442,EDC0011443,2
